"","Days to Ship Actual","Sales Forecast","Ship Status","Days to Ship Scheduled","Category","City","Country","Customer Name","Discount","Number of Records","Order Date","Order ID","Postal Code","Product Name","Profit","Quantity","Region","Sales","Segment","Ship Date","Ship Mode","State","Sub-Category"
"28",4,"$4,618","Shipped Early",6,"Furniture","Philadelphia","United States","Tracy Blumstein","50.00%",1,2015-02-09,"US-2015-150630",19140,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","-$1,665",7,"East","$3,083","Consumer","9/21/2015","Standard Class","Pennsylvania","Bookcases"
"29",4,"$14","Shipped Early",6,"Office Supplies","Philadelphia","United States","Tracy Blumstein","70.00%",1,2015-02-09,"US-2015-150630",19140,"Avery Recycled Flexi-View Covers for Binding Systems","-$7",2,"East","$10","Consumer","9/21/2015","Standard Class","Pennsylvania","Binders"
"30",4,"$186","Shipped Early",6,"Furniture","Philadelphia","United States","Tracy Blumstein","20.00%",1,2015-02-09,"US-2015-150630",19140,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock","$16",3,"East","$124","Consumer","9/21/2015","Standard Class","Pennsylvania","Furnishings"
"31",4,"$5","Shipped Early",6,"Office Supplies","Philadelphia","United States","Tracy Blumstein","20.00%",1,2015-02-09,"US-2015-150630",19140,"Poly String Tie Envelopes","$1",2,"East","$3","Consumer","9/21/2015","Standard Class","Pennsylvania","Envelopes"
"32",4,"$129","Shipped Early",6,"Office Supplies","Philadelphia","United States","Tracy Blumstein","20.00%",1,2015-02-09,"US-2015-150630",19140,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain","$10",6,"East","$86","Consumer","9/21/2015","Standard Class","Pennsylvania","Art"
"33",4,"$10","Shipped Early",6,"Office Supplies","Philadelphia","United States","Tracy Blumstein","70.00%",1,2015-02-09,"US-2015-150630",19140,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red","-$6",6,"East","$7","Consumer","9/21/2015","Standard Class","Pennsylvania","Binders"
"34",4,"$24","Shipped Early",6,"Office Supplies","Philadelphia","United States","Tracy Blumstein","20.00%",1,2015-02-09,"US-2015-150630",19140,"Lumber Crayons","$4",2,"East","$16","Consumer","9/21/2015","Standard Class","Pennsylvania","Art"
"35",4,"$44","Shipped Late",3,"Office Supplies","Houston","United States","Matt Abelman","20.00%",1,2017-02-10,"CA-2017-107727",77095,"Easy-staple paper","$10",3,"Central","$29","Home Office","10/23/2017","Second Class","Texas","Paper"
"36",2,"$1,644","Shipped Late",1,"Technology","Richardson","United States","Gene Hale","20.00%",1,2016-02-12,"CA-2016-117590",75080,"GE 30524EE4","$123",7,"Central","$1,098","Corporate","42655","First Class","Texas","Phones"
"37",2,"$286","Shipped Late",1,"Furniture","Richardson","United States","Gene Hale","60.00%",1,2016-02-12,"CA-2016-117590",75080,"Electrix Architect's Clamp-On Swing Arm Lamp, Black","-$148",5,"Central","$191","Corporate","42655","First Class","Texas","Furnishings"
"38",4,"$170","Shipped Early",6,"Office Supplies","Houston","United States","Steve Nguyen","20.00%",1,2015-02-12,"CA-2015-117415",77041,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","$35",9,"Central","$113","Home Office","12/31/2015","Standard Class","Texas","Envelopes"
"39",4,"$797","Shipped Early",6,"Furniture","Houston","United States","Steve Nguyen","32.00%",1,2015-02-12,"CA-2015-117415",77041,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","-$47",3,"Central","$532","Home Office","12/31/2015","Standard Class","Texas","Bookcases"
"40",4,"$318","Shipped Early",6,"Furniture","Houston","United States","Steve Nguyen","30.00%",1,2015-02-12,"CA-2015-117415",77041,"Global Fabric Manager's Chair, Dark Gray","-$15",3,"Central","$212","Home Office","12/31/2015","Standard Class","Texas","Chairs"
"41",4,"$556","Shipped Early",6,"Technology","Houston","United States","Steve Nguyen","20.00%",1,2015-02-12,"CA-2015-117415",77041,"Plantronics HL10 Handset Lifter","$42",4,"Central","$371","Home Office","12/31/2015","Standard Class","Texas","Phones"
"42",5,"$220","Shipped Early",6,"Technology","Naperville","United States","Linda Cazamias","20.00%",1,2017-02-09,"CA-2017-120999",60540,"Panasonic Kx-TS550","$17",4,"Central","$147","Corporate","9/15/2017","Standard Class","Illinois","Phones"
"43",5,"$117","Shipped Early",6,"Office Supplies","Los Angeles","United States","Ruben Ausman","0.00%",1,2016-02-07,"CA-2016-101343",90049,"Eldon Base for stackable storage shelf, platinum","$4",2,"West","$78","Corporate","7/22/2016","Standard Class","California","Storage"
"44",4,"$143","Shipped Early",6,"Office Supplies","Melbourne","United States","Erin Smith","20.00%",1,2017-02-09,"CA-2017-139619",32935,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers","$10",2,"South","$96","Corporate","9/23/2017","Standard Class","Florida","Storage"
"45",2,"$69","Shipped Late",1,"Technology","Eagan","United States","Odella Nelson","0.00%",1,2016-02-03,"CA-2016-118255",55122,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack","$20",2,"Central","$46","Corporate","3/13/2016","First Class","Minnesota","Accessories"
"46",2,"$26","Shipped Late",1,"Office Supplies","Eagan","United States","Odella Nelson","0.00%",1,2016-02-03,"CA-2016-118255",55122,"Wilson Jones Leather-Like Binders with DublLock Round Rings","$8",2,"Central","$17","Corporate","3/13/2016","First Class","Minnesota","Binders"
"47",5,"$317","Shipped Late",3,"Office Supplies","Westland","United States","Patrick O'Donnell","0.00%",1,2014-02-10,"CA-2014-146703",48185,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black","$8",4,"Central","$212","Consumer","10/25/2014","Second Class","Michigan","Storage"
"48",5,"$67","Shipped Early",6,"Technology","Dover","United States","Lena Hernandez","0.00%",1,2016-02-06,"CA-2016-169194",19901,"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive","$5",3,"East","$45","Consumer","6/25/2016","Standard Class","Delaware","Accessories"
"49",5,"$33","Shipped Early",6,"Technology","Dover","United States","Lena Hernandez","0.00%",1,2016-02-06,"CA-2016-169194",19901,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite","$6",2,"East","$22","Consumer","6/25/2016","Standard Class","Delaware","Phones"
"50",4,"$57","Shipped Early",6,"Office Supplies","New Albany","United States","Darren Powers","0.00%",1,2015-02-04,"CA-2015-115742",47150,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack","$18",6,"Central","$38","Consumer","4/22/2015","Standard Class","Indiana","Binders"
"51",4,"$113","Shipped Early",6,"Office Supplies","New Albany","United States","Darren Powers","0.00%",1,2015-02-04,"CA-2015-115742",47150,"Avery 485","$35",6,"Central","$75","Consumer","4/22/2015","Standard Class","Indiana","Labels"
"52",4,"$9","Shipped Early",6,"Furniture","New Albany","United States","Darren Powers","0.00%",1,2015-02-04,"CA-2015-115742",47150,"Longer-Life Soft White Bulbs","$3",2,"Central","$6","Consumer","4/22/2015","Standard Class","Indiana","Furnishings"
"53",4,"$135","Shipped Early",6,"Furniture","New Albany","United States","Darren Powers","0.00%",1,2015-02-04,"CA-2015-115742",47150,"Global Leather Task Chair, Black","$17",1,"Central","$90","Consumer","4/22/2015","Standard Class","Indiana","Chairs"
"54",6,"$23","Shipped On Time",6,"Office Supplies","New York City","United States","Janet Molinari","0.00%",1,2016-02-12,"CA-2016-105816",10024,"Advantus Push Pins","$6",7,"East","$15","Corporate","12/17/2016","Standard Class","New York","Fasteners"
"55",6,"$1,542","Shipped On Time",6,"Technology","New York City","United States","Janet Molinari","0.00%",1,2016-02-12,"CA-2016-105816",10024,"AT&T CL83451 4-Handset Telephone","$299",5,"East","$1,030","Corporate","12/17/2016","Standard Class","New York","Phones"
"56",1,"$312","Shipped On Time",1,"Office Supplies","Troy","United States","Ted Butterfield","0.00%",1,2016-02-06,"CA-2016-111682",12180,"Home/Office Personal File Carts","$52",6,"East","$209","Consumer","6/18/2016","First Class","New York","Storage"
"57",1,"$49","Shipped On Time",1,"Office Supplies","Troy","United States","Ted Butterfield","0.00%",1,2016-02-06,"CA-2016-111682",12180,"Xerox 232","$16",5,"East","$32","Consumer","6/18/2016","First Class","New York","Paper"
"58",1,"$478","Shipped On Time",1,"Furniture","Troy","United States","Ted Butterfield","10.00%",1,2016-02-06,"CA-2016-111682",12180,"Novimex Turbo Task Chair","$7",5,"East","$319","Consumer","6/18/2016","First Class","New York","Chairs"
"59",1,"$22","Shipped On Time",1,"Office Supplies","Troy","United States","Ted Butterfield","0.00%",1,2016-02-06,"CA-2016-111682",12180,"Array Parchment Paper, Assorted Colors","$7",2,"East","$15","Consumer","6/18/2016","First Class","New York","Paper"
"60",1,"$45","Shipped On Time",1,"Technology","Troy","United States","Ted Butterfield","0.00%",1,2016-02-06,"CA-2016-111682",12180,"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive","$3",2,"East","$30","Consumer","6/18/2016","First Class","New York","Accessories"
"61",1,"$73","Shipped On Time",1,"Office Supplies","Troy","United States","Ted Butterfield","20.00%",1,2016-02-06,"CA-2016-111682",12180,"Plastic Binding Combs","$16",4,"East","$48","Consumer","6/18/2016","First Class","New York","Binders"
"62",1,"$3","Shipped On Time",1,"Office Supplies","Troy","United States","Ted Butterfield","0.00%",1,2016-02-06,"CA-2016-111682",12180,"Prang Dustless Chalk Sticks","$1",1,"East","$2","Consumer","6/18/2016","First Class","New York","Art"
"63",6,"$21","Shipped On Time",6,"Technology","Los Angeles","United States","Kunst Miller","0.00%",1,2015-02-11,"CA-2015-135545",90004,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack","$6",2,"West","$14","Consumer","11/30/2015","Standard Class","California","Accessories"
"64",6,"$39","Shipped On Time",6,"Office Supplies","Los Angeles","United States","Kunst Miller","20.00%",1,2015-02-11,"CA-2015-135545",90004,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""","$9",6,"West","$26","Consumer","11/30/2015","Standard Class","California","Binders"
"65",6,"$220","Shipped On Time",6,"Office Supplies","Los Angeles","United States","Kunst Miller","0.00%",1,2015-02-11,"CA-2015-135545",90004,"Xerox 1943","$69",3,"West","$147","Consumer","11/30/2015","Standard Class","California","Paper"
"66",6,"$119","Shipped On Time",6,"Furniture","Los Angeles","United States","Kunst Miller","0.00%",1,2015-02-11,"CA-2015-135545",90004,"Luxo Economy Swing Arm Lamp","$22",4,"West","$80","Consumer","11/30/2015","Standard Class","California","Furnishings"
"67",5,"$319","Shipped Early",6,"Furniture","Chicago","United States","Paul Stevenson","30.00%",1,2015-02-04,"US-2015-164175",60610,"Global Value Mid-Back Manager's Chair, Gray","-$15",5,"Central","$213","Home Office","42129","Standard Class","Illinois","Chairs"
"68",5,"$1,667","Shipped Early",6,"Office Supplies","Gilbert","United States","Brendan Sweed","20.00%",1,2014-02-12,"CA-2014-106376",85234,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","$111",8,"West","$1,113","Corporate","41924","Standard Class","Arizona","Art"
"69",5,"$252","Shipped Early",6,"Technology","Gilbert","United States","Brendan Sweed","20.00%",1,2014-02-12,"CA-2014-106376",85234,"netTALK DUO VoIP Telephone Service","$63",4,"West","$168","Corporate","41924","Standard Class","Arizona","Phones"
"70",2,"$114","Shipped Late",1,"Office Supplies","Springfield","United States","Karen Daniels","0.00%",1,2016-02-06,"CA-2016-119823",22153,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate","$36",2,"South","$76","Consumer","42527","First Class","Virginia","Paper"
"71",5,"$7","Shipped Early",6,"Office Supplies","New York City","United States","Henry MacAllister","20.00%",1,2016-02-09,"CA-2016-106075",10009,"Avery Binding System Hidden Tab Executive Style Index Sets","$2",1,"East","$5","Consumer","9/23/2016","Standard Class","New York","Binders"
"72",3,"$29","Shipped On Time",3,"Office Supplies","Jackson","United States","Tracy Blumstein","0.00%",1,2017-02-09,"CA-2017-114440",49201,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""","$9",3,"Central","$19","Consumer","9/17/2017","Second Class","Michigan","Paper"
"73",6,"$1,246","Shipped On Time",6,"Furniture","Memphis","United States","Joel Eaton","20.00%",1,2015-02-04,"US-2015-134026",38109,"High-Back Leather Manager's Chair","-$114",8,"South","$832","Consumer","42040","Standard Class","Tennessee","Chairs"
"74",6,"$145","Shipped On Time",6,"Furniture","Memphis","United States","Joel Eaton","20.00%",1,2015-02-04,"US-2015-134026",38109,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""","$1",2,"South","$97","Consumer","42040","Standard Class","Tennessee","Furnishings"
"75",6,"$109","Shipped On Time",6,"Office Supplies","Memphis","United States","Joel Eaton","20.00%",1,2015-02-04,"US-2015-134026",38109,"Safco Industrial Wire Shelving System","-$18",1,"South","$73","Consumer","42040","Standard Class","Tennessee","Storage"
"76",2,"$2","Shipped Late",1,"Office Supplies","Houston","United States","Ken Brennan","80.00%",1,2017-02-12,"US-2017-118038",77041,"Economy Binders","-$2",3,"Central","$1","Corporate","43051","First Class","Texas","Binders"
"77",2,"$15","Shipped Late",1,"Furniture","Houston","United States","Ken Brennan","60.00%",1,2017-02-12,"US-2017-118038",77041,"6"" Cubicle Wall Clock, Black","-$6",3,"Central","$10","Corporate","43051","First Class","Texas","Furnishings"
"78",2,"$41","Shipped Late",1,"Office Supplies","Houston","United States","Ken Brennan","20.00%",1,2017-02-12,"US-2017-118038",77041,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h","$3",3,"Central","$27","Corporate","43051","First Class","Texas","Storage"
"79",5,"$29","Shipped Late",3,"Furniture","Houston","United States","Joel Eaton","60.00%",1,2014-02-11,"US-2014-147606",77070,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak","-$14",5,"Central","$19","Consumer","41651","Second Class","Texas","Furnishings"
"80",3,"$312","Shipped Late",1,"Office Supplies","Decatur","United States","Stewart Carmichael","0.00%",1,2016-02-06,"CA-2016-127208",35601,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","$56",1,"South","$208","Corporate","6/15/2016","First Class","Alabama","Appliances"
"81",3,"$25","Shipped Late",1,"Office Supplies","Decatur","United States","Stewart Carmichael","0.00%",1,2016-02-06,"CA-2016-127208",35601,"Avery Heavy-Duty EZD  Binder With Locking Rings","$8",3,"South","$17","Corporate","6/15/2016","First Class","Alabama","Binders"
"82",4,"$22","Shipped Early",6,"Office Supplies","San Francisco","United States","Duane Noonan","0.00%",1,2014-02-10,"CA-2014-139451",94122,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind","$4",5,"West","$15","Consumer","10/16/2014","Standard Class","California","Art"
"83",4,"$32","Shipped Early",6,"Office Supplies","San Francisco","United States","Duane Noonan","0.00%",1,2014-02-10,"CA-2014-139451",94122,"Sortfiler Multipurpose Personal File Organizer, Black","$6",1,"West","$21","Consumer","10/16/2014","Standard Class","California","Storage"
"84",5,"$301","Shipped Early",6,"Office Supplies","Durham","United States","Julie Creighton","20.00%",1,2015-02-09,"CA-2015-149734",27707,"Jet-Pak Recycled Peel 'N' Seal Padded Mailers","$63",7,"South","$201","Corporate","42225","Standard Class","North Carolina","Envelopes"
"85",3,"$345","Shipped Late",1,"Office Supplies","Chicago","United States","Christopher Schild","20.00%",1,2017-02-11,"US-2017-119662",60623,"Safco Industrial Wire Shelving","-$49",3,"Central","$230","Home Office","11/16/2017","First Class","Illinois","Storage"
"86",2,"$452","Shipped Early",3,"Furniture","Columbia","United States","Patrick O'Donnell","0.00%",1,2017-02-05,"CA-2017-140088",29203,"Novimex Swivel Fabric Task Chair","$33",2,"South","$302","Consumer","5/30/2017","Second Class","South Carolina","Chairs"
"87",7,"$30","Shipped Late",6,"Technology","Rochester","United States","Paul Gonzalez","0.00%",1,2017-02-10,"CA-2017-155558",55901,"Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired","$7",1,"Central","$20","Consumer","42777","Standard Class","Minnesota","Accessories"
"88",7,"$9","Shipped Late",6,"Office Supplies","Rochester","United States","Paul Gonzalez","0.00%",1,2017-02-10,"CA-2017-155558",55901,"Avery 511","$3",2,"Central","$6","Consumer","42777","Standard Class","Minnesota","Labels"
"89",5,"$237","Shipped Late",3,"Office Supplies","Houston","United States","Gary Mitchum","20.00%",1,2016-02-04,"CA-2016-159695",77095,"Eldon Portable Mobile Manager","$14",7,"Central","$158","Home Office","42647","Second Class","Texas","Storage"
"90",5,"$30","Shipped Early",6,"Office Supplies","Los Angeles","United States","Jim Sink","0.00%",1,2016-02-09,"CA-2016-109806",90036,"Turquoise Lead Holder with Pocket Clip","$7",3,"West","$20","Corporate","9/22/2016","Standard Class","California","Art"
"91",5,"$110","Shipped Early",6,"Technology","Los Angeles","United States","Jim Sink","20.00%",1,2016-02-09,"CA-2016-109806",90036,"Panasonic Kx-TS550","$8",2,"West","$74","Corporate","9/22/2016","Standard Class","California","Phones"
"92",5,"$10","Shipped Early",6,"Office Supplies","Los Angeles","United States","Jim Sink","0.00%",1,2016-02-09,"CA-2016-109806",90036,"Xerox 1995","$3",1,"West","$6","Corporate","9/22/2016","Standard Class","California","Paper"
"93",5,"$19","Shipped Late",3,"Office Supplies","Minneapolis","United States","Karl Braun","0.00%",1,2015-02-01,"CA-2015-149587",55407,"Xerox 1999","$6",2,"Central","$13","Consumer","42126","Second Class","Minnesota","Paper"
"94",5,"$80","Shipped Late",3,"Furniture","Minneapolis","United States","Karl Braun","0.00%",1,2015-02-01,"CA-2015-149587",55407,"Seth Thomas 13 1/2"" Wall Clock","$17",3,"Central","$53","Consumer","42126","Second Class","Minnesota","Furnishings"
"95",5,"$49","Shipped Late",3,"Office Supplies","Minneapolis","United States","Karl Braun","0.00%",1,2015-02-01,"CA-2015-149587",55407,"Ibico Standard Transparent Covers","$16",2,"Central","$33","Consumer","42126","Second Class","Minnesota","Binders"
"96",6,"$9","Shipped On Time",6,"Office Supplies","Portland","United States","Roger Barcio","70.00%",1,2017-02-11,"US-2017-109484",97206,"Flexible Leather- Look Classic Collection Ring Binder","-$4",1,"West","$6","Home Office","43080","Standard Class","Oregon","Binders"
"97",2,"$145","Shipped Early",3,"Furniture","New York City","United States","Parhena Norris","0.00%",1,2017-02-11,"CA-2017-161018",10009,"9-3/4 Diameter Round Wall Clock","$41",7,"East","$97","Home Office","43050","Second Class","New York","Furnishings"
"98",3,"$77","Shipped Late",1,"Office Supplies","San Francisco","United States","Katherine Ducich","20.00%",1,2017-02-06,"CA-2017-157833",94122,"Trimflex Flexible Post Binders","$18",3,"West","$51","Consumer","6/20/2017","First Class","California","Binders"
"99",5,"$117","Shipped Early",6,"Office Supplies","Saint Paul","United States","Elpida Rittenbach","0.00%",1,2016-02-09,"CA-2016-149223",55106,"Fellowes Basic Home/Office Series Surge Protectors","$23",6,"Central","$78","Corporate","42683","Standard Class","Minnesota","Appliances"
"100",4,"$97","Shipped Early",6,"Office Supplies","Chicago","United States","Rick Bensley","20.00%",1,2016-02-08,"CA-2016-158568",60610,"Avery Personal Creations Heavyweight Cards","$23",7,"Central","$65","Home Office","42409","Standard Class","Illinois","Paper"
"101",4,"$144","Shipped Early",6,"Technology","Chicago","United States","Rick Bensley","20.00%",1,2016-02-08,"CA-2016-158568",60610,"SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card","-$11",3,"Central","$96","Home Office","42409","Standard Class","Illinois","Accessories"
"102",4,"$3","Shipped Early",6,"Office Supplies","Chicago","United States","Rick Bensley","80.00%",1,2016-02-08,"CA-2016-158568",60610,"Avery Hidden Tab Dividers for Binding Systems","-$3",3,"Central","$2","Home Office","42409","Standard Class","Illinois","Binders"
"103",3,"$36","Shipped On Time",3,"Office Supplies","Rochester","United States","Gary Zandusky","0.00%",1,2016-02-12,"CA-2016-129903",55901,"Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)","$12",4,"Central","$24","Consumer","42472","Second Class","Minnesota","Paper"
"104",4,"$358","Shipped Early",6,"Technology","Aurora","United States","Lena Cacioppo","20.00%",1,2015-02-11,"US-2015-156867",80013,"Logitech K350 2.4Ghz Wireless Keyboard","-$27",6,"West","$239","Consumer","11/17/2015","Standard Class","Colorado","Accessories"
